PPH1	PPH2	PPH3	PPH4
ENSG00000270921.1	0.856034901633245	0.0013077200811911	0.0160776797220617	0.0571986966111908
ENSG00000230724.9	0.87614396763955	0.000846775393032678	0.0202361725762481	0.0662307528985171
ENSG00000188076.2	0.877157927608092	0.000343398929272309	0.0271510338134681	0.084287917420819
ENSG00000177951.17	0.894360593224491	0.000379761065210501	0.0300604683991741	0.0639244826509663
ENSG00000177963.14	0.888446240222014	0.000360681491359515	0.0285394599213309	0.0714534825852141
ENSG00000142082.14	0.890070851517532	0.000463192243399867	0.0366821838461949	0.0615635255756968
ENSG00000185627.17	0.892480234005021	0.000471098526776476	0.03731244515381	0.0584856027845945
ENSG00000277290.1	0.892210288914983	0.000487018300059877	0.0385766476494177	0.0574789230506577
ENSG00000174885.12	0.872796533962596	0.000548352920976952	0.0434280347253104	0.0722248330326711
ENSG00000255026.1	0.883521885267256	0.000559829200158304	0.0443502300869984	0.0604306091072826
ENSG00000142102.15	0.88724313095834	0.000513574787161712	0.0406809688698347	0.0603779699942048
ENSG00000206013.2	0.888945244317957	0.000502157725394888	0.0397760726436525	0.0595707135256764
ENSG00000185201.16	0.887162961276738	0.000468598428015957	0.0371093438975669	0.0640757516053067
ENSG00000254910.1	0.868702359648153	0.000801724464407918	0.0635439558595339	0.0560013247625278
ENSG00000185885.15	0.889595479925346	0.000506551991339853	0.0401256775634177	0.0585582820321838
ENSG00000251661.3	0.890733243510811	0.000474927772383353	0.0376155719642718	0.0599479059139532
ENSG00000142089.15	0.839340652591742	0.000491440795193464	0.0388747679446361	0.110712629420522
ENSG00000270105.1	0.876567770972698	0.000473530133822084	0.0374902279891473	0.0744186863162094
ENSG00000270030.1	0.888378662094044	0.000517059473742576	0.0409588365830939	0.0589467722494699
ENSG00000255328.1	0.883379564382919	0.000575168412746488	0.0455681628195159	0.0593414521064447
ENSG00000270972.1	0.883749663362696	0.000567867291530663	0.0449887606258715	0.0595533910703623
ENSG00000182272.11	0.869629019648583	0.000517117156187273	0.0409444121083282	0.0779471345873635
ENSG00000184363.9	0.889255925695609	0.000501329458464693	0.0397106154128668	0.0593224012773639
ENSG00000185187.12	0.886486383249071	0.000540783503072987	0.0428408284212296	0.058957188800324
ENSG00000185101.12	0.866107212457002	0.000476385703186895	0.0377063838885382	0.084792096434207
ENSG00000174915.11	0.740991138718764	0.000462717062579364	0.036494145867404	0.212711257411776
ENSG00000255237.1	0.890203544577639	0.000460916488730981	0.0365024080409387	0.0616114573006409
ENSG00000023191.16	0.88464550057044	0.000478212722674538	0.0378702570969819	0.0658544192702848
ENSG00000174775.16	0.870762818499988	0.000585777470930999	0.0463978327188418	0.0712769624382345
ENSG00000161328.10	0.865258671771515	0.000573045009047739	0.0453811770119288	0.077879881172904
ENSG00000254815.5	0.88892855896957	0.000515170784301811	0.040809414357216	0.0585412544327408
ENSG00000099849.14	0.887520185709243	0.000502278238279464	0.0397841980272023	0.061005490154921
ENSG00000185522.8	0.699139865166065	0.000647372224559575	0.0511150720837799	0.240284515819797
ENSG00000199038.1	0.875902151187275	0.000561874671398352	0.0445049361307238	0.0679896440518065
ENSG00000247095.2	0.866763212810928	0.000511558891298696	0.0405001290362875	0.0812989083751359
ENSG00000070047.11	0.883254685556393	0.000500150522523974	0.0396109138959813	0.0655001719366289
ENSG00000185507.19	0.889262783978842	0.000470070726540471	0.037228386596039	0.0618289440891531
ENSG00000099834.18	0.889902605103929	0.000516124330186362	0.0408861221337519	0.0574772684045603
ENSG00000069696.6	0.886952465646256	0.000529325670943114	0.0419314417818666	0.0594060755615526
ENSG00000177106.14	0.888028316913137	0.000532152696433665	0.0421570245588699	0.0580882525918417
ENSG00000177042.14	0.888899362992116	0.000505296563707434	0.0400252792661424	0.0593648277587368
ENSG00000177030.16	0.825087488942546	0.000657992095796099	0.0520860521680751	0.111767629207399
ENSG00000177156.10	0.886984630039351	0.000485427824626434	0.0384455746826842	0.0629032706580096
ENSG00000177225.16	0.87314937754896	0.000487867049625056	0.0386252482889798	0.0767308138998114
ENSG00000255284.1	0.878956879769575	0.000539239946466812	0.042710623534844	0.066713355678915
ENSG00000279672.1	0.781667001664891	0.000791237733631555	0.0626229905993128	0.145065279748403
ENSG00000255142.1	0.874055423969847	0.000560599769617769	0.0444018251230279	0.0699640365401272
ENSG00000184524.5	0.883715246383645	0.000519229089579917	0.0411263974508585	0.0634992432778349
ENSG00000177542.10	0.895271681074905	0.000460045922765688	0.0364384141196266	0.0565442976844539
ENSG00000274897.2	0.846462452818255	0.000447589033483669	0.0353997465865283	0.107019926758543
ENSG00000177595.17	0.866680209949947	0.000522823665305897	0.0413945733513106	0.0804772484594934
ENSG00000177600.8	0.848930590081709	0.000446443361151671	0.0353112712362754	0.10461029782337
ENSG00000199785.1	0.892370670036858	0.00046469230631328	0.0368044399234823	0.0591112059232496
ENSG00000177666.16	0.877210825784611	0.000501383590436796	0.0397027048514615	0.0715271950042086
ENSG00000177685.16	0.835115564343194	0.00105355043867226	0.0835072500501621	0.069796386280026
