PPH1	PPH2	PPH3	PPH4
NPTX1	0.820040660319485	0.00105451783921763	0.16829865912747	0.0054681573711107
NOS1	0.816566111008917	0.00105670147509444	0.168643204120462	0.00861772313469453
NOS3	0.810278986051375	0.00108167108765127	0.172626089176706	0.0109363859075725
NOTCH1	0.813138153005062	0.0010904429980719	0.174032154923376	0.00664451842576497
NOTCH3	0.797381943977916	0.00120101067189489	0.191681075642586	0.00473995985009797
NPDC1	0.81740636746058	0.00101159961089798	0.161439890031988	0.0150206637188141
NPPB	0.789371144289251	0.00125234391673201	0.199873366521124	0.00455730567406298
NPPC	0.801673843292752	0.00114818403262346	0.183244565594181	0.00891047858835322
NPTN	0.382327432078858	0.000482739140122062	0.0765082107771596	0.538286124071885
NMNAT1	0.827674395273935	0.00100824982086192	0.160913995974935	0.00521751105859933
NPTXR	0.813392246234807	0.00109647909996511	0.174996561902715	0.00541838415749886
NPY	0.83328995147829	0.000977212494019264	0.15596204657025	0.00454979104673651
NRCAM	0.816529042150201	0.00106345802545436	0.169724131478414	0.0075673860709609
NRP1	0.821514466633964	0.0010486349157473	0.167361247624971	0.00492844143241105
NRP2	0.826869124207341	0.00102042854497873	0.16285930600092	0.00407035182559962
NRTN	0.80347946452421	0.00116235721317598	0.185510064724588	0.00481385343777387
NSFL1C	0.832113357488447	0.000988349225110606	0.15773979094173	0.00394486525243372
NT5C3A	0.822773987070942	0.00102701053744096	0.163906700335589	0.00713716953326068
NOMO1	0.799110567584335	0.00119090500402289	0.190067292793811	0.00462436780702051
NCLN	0.748591630142808	0.0011464810969965	0.182918360831953	0.0626531716199545
NELL2	0.389290743654523	0.00376877182809174	0.601506777456153	0.00299459791324275
NCR1	0.818827027561403	0.00106795650716499	0.170444401903927	0.00453021138153696
NCS1	0.788739285423717	0.00113941690141449	0.181831650017624	0.0233477825257235
NDRG1	0.611727783040851	0.00237448144405258	0.378969235599701	0.00309567057724091
NDUFS6	0.802532884566691	0.00117339784581853	0.187273537503626	0.00399186536227471
NECTIN2	0.810099113972669	0.00111193578458275	0.177462562894689	0.00625068883125404
NECTIN4	0.826244104898767	0.00100859507895681	0.160968862240308	0.00660158835164082
NEFL	0.688792180743201	0.00101271819521289	0.161487305986716	0.144392104635457
NELL1	0.816983843888556	0.00103513772342641	0.165200104888954	0.0116620844245277
NME3	0.81589728818622	0.0010719645212023	0.171082623331287	0.00683610274868038
NFASC	0.813144645956532	0.00110558279448839	0.176450826697333	0.00420416926762846
NFATC1	0.829598310937548	0.00100026531680408	0.159640660446282	0.00456287262616717
NFATC3	0.819343901561938	0.00105902616105783	0.169017559685159	0.00544585268622323
NFKBIE	0.823716517759491	0.00104006698278071	0.165993467342802	0.00408890595350837
NGF	0.807492110242827	0.00112889348870969	0.180168095544251	0.00615150627489282
NID1	0.761631913290091	0.00143039152640643	0.228291418412881	0.00387424742951728
NID2	0.819798359022028	0.00106547829282186	0.170049497516536	0.00395017797666928
NINJ1	0.824570681061384	0.00101539199546629	0.162052164915742	0.00719536825799809
NT5E	0.826522195415026	0.000982820214139448	0.156851235968222	0.0104651565904378
NTF3	0.822690647784532	0.00104545810086632	0.16685386630232	0.0042554174560795
NTF4	0.823744619796861	0.00103832073360215	0.165714508735551	0.00434133269767885
NTproBNP	0.817239662209534	0.00107794530003409	0.172039397066084	0.00452256074237176
NTRK2	0.778566541013141	0.000962370119361804	0.153535650718976	0.0620573108338841
NTRK3	0.819753769385514	0.00106604168495403	0.170139799712066	0.00390419158268336
NUB1	0.832541660331427	0.000984129663042612	0.157065734397044	0.00419214322902908
NUCB2	0.820602440415344	0.00104115918853856	0.166165433708631	0.00704945495997297
NUDC	0.831335666973115	0.000989964074344483	0.157997394836528	0.00446822259821174
NUDT2	0.814007016036348	0.00108237075586738	0.172742727760528	0.00706769191637026
NCK2	0.83143762650669	0.00099167652889484	0.158271111927542	0.00409019551541384
NCAM1	0.828727200104965	0.00099637254234373	0.159018735808032	0.00606528745680754
NCAM2	0.829269269719231	0.00100388724931479	0.160219025259118	0.00431199012068285
NCAN	0.818269440962827	0.00106160140994488	0.16942890848653	0.00611315162067947
NCF2	0.829307070699066	0.000974240101352907	0.155482392081997	0.00904022815991319
MMP1	0.824128789516827	0.00103332658231564	0.164916363954959	0.00475787458615155
MIA	0.807278416912012	0.00114286342995923	0.182401064137834	0.00411963599796358
MICB_MICA	0.829388153433057	0.00100400808714473	0.160238407379764	0.00417285717943421
MIF	0.818302801503867	0.00107348333381299	0.171326905926122	0.00416969253390134
MILR1	0.761107569072986	0.00139457002218029	0.222566413100682	0.0101626719534169
MITD1	0.830461018903797	0.000996528478870978	0.159044162769293	0.00429498220438457
MLN	0.834255922272565	0.000974210773770415	0.155482783255409	0.0040600105228766
MME	0.822956836196871	0.0010297035511327	0.164337423257578	0.00651976800719492
MGLL	0.8300021908326	0.000997076926715071	0.159132457493886	0.00466787897703063
MMP10	0.832399246756751	0.000983822449979615	0.15701708132215	0.00438442836680629
MMP12	0.824265545254385	0.00101403798932228	0.161836150810949	0.00771980359651608
MMP13	0.790959477578917	0.00114756186544529	0.183133531412112	0.0198036092919461
MMP3	0.828509917659402	0.000986879322425856	0.157501011317431	0.00781112180700025
MMP7	0.820684344620804	0.00103997312285501	0.165975736926496	0.00715791149806573
MMP8	0.819673381583956	0.00106490199771694	0.169957637746509	0.0041683847097867
MGMT	0.829565662066485	0.000997344805517264	0.159174036041344	0.00506527097662849
METAP2	0.831484193805605	0.000990386123724669	0.158064903774862	0.00425083190361913
MFAP3	0.777476695359186	0.001325339134468	0.211523380820831	0.00480327027923941
MFAP5	0.818904786007454	0.00106790647364835	0.170437426451389	0.00445901948461267
MFGE8	0.823908028248976	0.00103605724911411	0.165353222727456	0.00454045524657187
MMP9	0.815995033377809	0.0010890867707831	0.173817443956603	0.00398577862791737
NBN	0.833145020483989	0.000980190894575445	0.156436497938747	0.00421815884418532
MYOC	0.816726336629601	0.0010822076671507	0.172719149635513	0.00435506678413144
MZB1	0.239866717746353	0.000712236028173576	0.113030588289068	0.644887568090988
MZT1	0.82267886993063	0.00104710903464259	0.167117485134176	0.00400199537970208
NAAA	0.803927798054523	0.00116378862122409	0.185739466295085	0.00413188501018872
NADK	0.78000578362337	0.00128462717644324	0.205022285079961	0.00880015919653477
NAMPT	0.827864201852317	0.00101230932809985	0.161562984603637	0.00437347470761793
NBL1	0.818934129269328	0.0010598236545965	0.169146002888472	0.00572899555990811
MVK	0.835786279620018	0.000951481705177407	0.151852490521054	0.00617306731048696
MYO9B	0.833316943143446	0.000975821937797073	0.155738673217296	0.00474735266880021
MSMB	9.31437036682855e-13	0.00120596594091985	0.191668970739801	0.807125063318344
MOG	0.80759360524792	0.00107458896375037	0.17149344957445	0.0147783588840015
MPHOSPH8	0.828144772908787	0.0010089541409058	0.161027540382711	0.00462995509447981
MPI	0.833889516351599	0.000969204712041602	0.154682903381791	0.00523360742237148
MPIG6B	0.824246817235403	0.00103397931928676	0.165022349718679	0.00453251836831591
MPO	0.827840249021152	0.00100846531954454	0.160948995213618	0.00501541639394129
MRPL46	0.766027637925631	0.00102071265439788	0.162842619448871	0.0653094225544081
MSLN	2.76936007283086e-06	0.00622572638249676	0.993645492467725	0.00012599443816808
MNDA	0.828201459706645	0.00100954254086757	0.161122020322225	0.00447785822625604
MSR1	0.823551217591902	0.0010396800451491	0.165931983725058	0.00431712795057977
MSRA	0.831556822719015	0.000990964617333713	0.158157493081911	0.00408458320865896
MSTN	0.833389905376354	0.000978817877658398	0.15621813894862	0.00419149671624308
MTPN	0.81437219551842	0.00102125043154397	0.162978170076096	0.0165258991897927
MUC13	0.817630765135475	0.00101357066296515	0.161753572559878	0.0144791607052909
