PPH1	PPH2	PPH3	PPH4
ENSG00000177963	0.892931483309538	2.89102896954033e-06	0.0126620469063334	0.0942012080609786
ENSG00000177042	0.859363450499919	4.21864535379663e-06	0.0184922254202226	0.121945342547999
ENSG00000174775	0.888564081731958	4.28164722304803e-06	0.0187997269937441	0.0924305288198016
ENSG00000177030	0.91188944634345	3.93846902439025e-06	0.0173073400732057	0.0705926079345126
ENSG00000174915	0.876808910140904	4.77870185293311e-06	0.0209833359051195	0.102004258592538
ENSG00000177225	0.863981794956658	4.32391330015947e-06	0.0189617942805712	0.11685627727882
ENSG00000185885	0.87459669905372	4.3890319274998e-06	0.0192600365506483	0.105940660071283
ENSG00000182208	0.909065162379275	4.62167372082751e-06	0.0203220738184718	0.070402115033775
ENSG00000185187	0.883381627853775	4.26971142461778e-06	0.0187418204391131	0.0976720757201851
ENSG00000142102	0.907839384980494	4.14210774909876e-06	0.0182027114892871	0.0737480121332719
ENSG00000023191	0.899443925114544	4.18947672653641e-06	0.0184035238413876	0.0819445149934581
ENSG00000177156	0.895734966838593	4.57596261559186e-06	0.0201068315834871	0.0839506196257142
ENSG00000078902	0.905732165466683	4.10831751197087e-06	0.0180513578041457	0.0760070966947339
ENSG00000177106	0.908156784531625	3.89095612076196e-06	0.0170937490181261	0.0745397542706953
ENSG00000185201	0.910364250254814	4.13192638422116e-06	0.0181602706557934	0.0712650256478819
ENSG00000142089	0.90353484981951	4.29502699000723e-06	0.0188738115655598	0.0773822698623331
ENSG00000214026	0.907528419694683	3.99980301961297e-06	0.0175738721551984	0.0746880295338986
ENSG00000177685	0.907652426532874	4.13150618488495e-06	0.0181556995763519	0.0739820354669492
ENSG00000142082	0.882046858682499	3.59453716405418e-06	0.0157583891144081	0.101991253871672
ENSG00000177830	0.911628798874358	3.98406527069074e-06	0.0175084674713868	0.070652141481336
ENSG00000130598	0.90735927042019	4.11505670583722e-06	0.0180827524106815	0.0743482216345751
ENSG00000099849	0.910633457225982	4.10427583758202e-06	0.0180384139471888	0.0711176420238128
ENSG00000070047	0.746064172929918	3.44007724964909e-06	0.0149400268040583	0.238823275022592
ENSG00000214063	0.769313355051852	3.86984806762549e-06	0.0168615055841087	0.213646915242968
ENSG00000184363	0.899081463572923	3.95580367495304e-06	0.0173710796170891	0.0833397365793433
ENSG00000177600	0.911099869748695	4.21327741872629e-06	0.0185203164027611	0.0701691123379751
ENSG00000117983	0.906646778119904	4.44959424948085e-06	0.0195596161390795	0.0735836771454841
ENSG00000183020	0.909708216738582	4.20914207554295e-06	0.018500658160154	0.071580743125021
ENSG00000177700	0.900645444336481	4.20158428868293e-06	0.0184582032150223	0.0806880319825461
ENSG00000117984	0.890222261378829	4.10614436721838e-06	0.0180262305643542	0.0915456453016042
ENSG00000185507	0.878846453148798	4.1856651816019e-06	0.0183660663417351	0.102584116403648
ENSG00000177697	0.889776509538448	3.93359845790359e-06	0.0172636877878983	0.0927542134878634
ENSG00000149043	0.909274404809651	4.02617177791892e-06	0.0176920851594672	0.0728234093424328
ENSG00000177666	0.899643739467622	4.0238480113484e-06	0.0176721791146309	0.0824761657106815
ENSG00000130592	0.911406598433851	4.08885531986682e-06	0.0179710790789081	0.0704116758829405
ENSG00000185627	0.910634676172129	3.88174291510637e-06	0.0170555370959177	0.0720995221832081
ENSG00000177951	0.908964818791497	2.76310421296171e-06	0.0121130850587885	0.0787133286119931
