PPH1	PPH2	PPH3	PPH4
ENSG00000142082	0.00143606313042894	0.0193633828278594	2.80623764334381e-05	0.000346177523186639
ENSG00000177156	0.00167846685000316	0.0109151474557533	1.82506176512578e-05	0.000309931142504821
ENSG00000177697	0.00168637477298666	0.00640195594958708	1.07139047482409e-05	0.000172234560413047
ENSG00000185885	0.00168700630072402	0.00603851304058217	1.0103861485511e-05	0.00016426511431988
ENSG00000177951	0.00168665000011239	0.00623144522813652	1.04152839095563e-05	0.000180912218927841
ENSG00000142102	0.00145668867987344	0.00550295340541693	7.92587323272485e-06	0.00014766175485259
ENSG00000099849	0.00168719737533215	0.00592709644544879	9.91535804533766e-06	0.000163311365866994
ENSG00000214026	0.00145665003527098	0.00553122900326478	7.969297206794e-06	0.000145721691640215
ENSG00000177106	0.00168668133497505	0.00622340242380425	1.04120203809015e-05	0.000170499444733544
ENSG00000177700	0.00168609557644539	0.00656425061519754	1.09879757585696e-05	0.000174135823683126
ENSG00000177042	0.00168726839154781	0.00588757576525101	9.85040434405289e-06	0.000161062538175665
ENSG00000185201	0.00168756907855911	0.00571373394103677	9.55779206374852e-06	0.000158067299314152
ENSG00000185627	0.00168744048955622	0.00578371880872007	9.67114569936455e-06	0.000163718702954508
ENSG00000177830	0.00168629740914267	0.00644585071175767	1.07869391929826e-05	0.00017384050677552
ENSG00000023191	0.00168477838464687	0.00731594072952072	1.22431891140759e-05	0.000197126093115482
ENSG00000177685	0.00168702147473091	0.00602875648470489	1.00864358231242e-05	0.000165100342894113
ENSG00000185187	0.0016873004514077	0.00586392806092386	9.80538605470203e-06	0.000165869335029198
ENSG00000177225	0.00145645552114955	0.00566350609628751	8.16305933068764e-06	0.000146026945733586
ENSG00000078902	0.00168744737080174	0.00577092471704462	9.64061912751973e-06	0.000172489694879147
ENSG00000184363	0.00145662367713453	0.00555148354835166	8.00130759672613e-06	0.000143427304437704
ENSG00000174775	0.00168690814750639	0.00609634233494562	1.02023040293166e-05	0.000164157791737194
ENSG00000117983	0.0016874451678688	0.00578260789070758	9.67090140357116e-06	0.000162073949785383
ENSG00000177600	0.00145675870688445	0.00545922141127729	7.86572138472383e-06	0.000143653185937226
ENSG00000142089	0.00168713352673989	0.00596146134875405	9.97060149909989e-06	0.000166503353969005
ENSG00000177666	0.00168675365906996	0.00618017253479464	1.03378113797525e-05	0.000171198631419249
ENSG00000182208	0.00145579208470497	0.00611230253527918	8.81808811115331e-06	0.000149439821149055
ENSG00000130592	0.00168669271929277	0.00621734279997433	1.04023533764832e-05	0.000169862424930241
ENSG00000183020	0.00168741250204201	0.00580481435442706	9.71166649158929e-06	0.000159069611685979
ENSG00000185507	0.00168723863465202	0.00590387935737516	9.87692844543922e-06	0.000162261710190896
ENSG00000149043	0.00168718843987143	0.00593424539613976	9.92941368034651e-06	0.00016141208959375
ENSG00000174915	0.0014568811268297	0.00538184264142412	7.75827497644908e-06	0.000137575062986568
ENSG00000070047	0.00145654730650895	0.00560573803716558	8.08311125746786e-06	0.000141221903285285
ENSG00000177030	0.00145694993670401	0.0053323896079865	7.68316281167928e-06	0.000140133316013724
ENSG00000117984	0.0016870594931195	0.00600870210854804	1.00546443955921e-05	0.000162790515386237
ENSG00000214063	0.00168731166788287	0.0058581425746277	9.79636111095686e-06	0.00016505640886645
ENSG00000177963	0.0016875379309735	0.00572922334363797	9.58129524254988e-06	0.000160902913821025
ENSG00000130598	0.00168729009815067	0.00587632073878492	9.83278019661012e-06	0.000159548193101913
