PPH1	PPH2	PPH3	PPH4
NPTX1	0.842439361460483	1.8424285230476e-08	0.153172266786511	0.00438825199903023
NOS1	0.842891418038637	1.78810560018113e-08	0.148651874732912	0.00845658796333021
NOS3	0.831621905043059	1.87163867531081e-08	0.155592356244409	0.0127856199675917
NOTCH1	0.840183686190218	1.83939611649556e-08	0.152917646903932	0.00689854745351294
NOTCH3	0.832553399772663	1.95267257736397e-08	0.162337065623296	0.00510941493671883
NPDC1	0.838083121218409	1.74626012588402e-08	0.145164611228542	0.0167521492847328
NPPB	0.812945330048105	2.19565675478947e-08	0.182538987795025	0.00451556241819288
NPPC	0.832980156309698	1.87944781154885e-08	0.156243605250807	0.0107761194530911
NPTN	0.810005269186404	1.63145705451917e-08	0.135582401538126	0.0544122155324223
NMNAT1	0.857369962864364	1.65288094193941e-08	0.137412745418958	0.00521717206230414
NPTXR	0.838444628339778	1.89613661261879e-08	0.157637945145634	0.00391730670402113
NPY	0.854254668636181	1.69670277283761e-08	0.141056553116628	0.00468865852931098
NRCAM	0.848147322465623	1.77195297379038e-08	0.147312887305657	0.00453967049293997
NRP1	0.850211581757889	1.74714433664399e-08	0.145250337330584	0.00453796117553864
NRP2	0.850500067579777	1.74984078963712e-08	0.14547502943988	0.00402478318269325
NRTN	0.849530314675531	1.74276785999766e-08	0.144885437662713	0.00558412805147741
NSFL1C	0.854735035476887	1.69957968801802e-08	0.141296455661871	0.00396838905681401
NT5C3A	0.848337314141729	1.76423169704232e-08	0.146670499916662	0.00499206626018761
NOMO1	0.822341666728537	2.07786825855392e-08	0.172745837775146	0.00491237580531844
NCLN	0.818432523648596	2.04673241657703e-08	0.170150747828354	0.0114166096136102
NELL2	0.393733743674398	7.26824884341238e-08	0.604268959262747	0.00199717702156436
NCR1	0.852462374108542	1.71484993836117e-08	0.142564996507229	0.0049725097004576
NCS1	0.809883435170902	1.94400942766286e-08	0.161593411151516	0.0285230368236647
NDRG1	0.629755701830538	4.41750553185188e-08	0.367261588311459	0.00298258993512092
NDUFS6	0.824427303913123	2.06390557825515e-08	0.171585927868479	0.00398664841616326
NECTIN2	0.833514658582579	1.91306639777558e-08	0.159041935291844	0.00744328673869638
NECTIN4	0.847934878869065	1.72247748084358e-08	0.143195241336559	0.00886976057890389
NEFL	0.82646986046127	1.96963398595143e-08	0.163742532788004	0.00978748764552931
NELL1	0.832598842765229	1.78120990297302e-08	0.148067700407282	0.0193333388693289
NME3	0.839194878598269	1.8584009998156e-08	0.154498275298705	0.00630672657957717
NFASC	0.83618024414541	1.923878129024e-08	0.159944373921897	0.00387526211707638
NFATC1	0.850570168129765	1.73943433410807e-08	0.144609056963595	0.00482065520462202
NFATC3	0.845099771331392	1.79880034379424e-08	0.149544119756896	0.00535598927401959
NFKBIE	0.846452466752987	1.79835812543699e-08	0.149508671658154	0.0040387417928852
NGF	0.836610574989295	1.86635408869521e-08	0.155157557774067	0.00823174794449946
NID1	0.796980843930078	2.39488242375546e-08	0.199102900917467	0.0039161353417485
NID2	0.843497759372744	1.83509922740035e-08	0.152563369994469	0.00393875082479971
NINJ1	0.850810029230247	1.7396128009787e-08	0.144624149370069	0.00456570166703008
NT5E	0.847221228850346	1.67601007649923e-08	0.139327431817973	0.0134512206667207
NTF3	0.852702496347055	1.72035456764403e-08	0.143023341330916	0.00427404255432726
NTF4	0.847919905791516	1.78113119514628e-08	0.148076486597838	0.00400348781043441
NTproBNP	0.84186564591498	1.85459448973957e-08	0.154184164600288	0.00395006967810468
NTRK2	0.824244074815905	1.69067064348158e-08	0.140524508571676	0.0352313005645728
NTRK3	0.845140179505651	1.81465136093747e-08	0.150863308396496	0.0039963922967928
NUB1	0.851843411800876	1.73083060660346e-08	0.143894314880446	0.00426215354955119
NUCB2	0.83938616658951	1.82292886459999e-08	0.15154641632886	0.00906729788989358
NUDC	0.853943342102403	1.70873676002148e-08	0.142057730029431	0.0039988080673934
NUDT2	0.844382663420601	1.80842872204504e-08	0.150344691696381	0.00527252523529872
NCK2	0.853721142184445	1.70995749620249e-08	0.142159099310251	0.0041196387190498
NCAM1	0.855651047723803	1.66821899914084e-08	0.138687483571597	0.00566134910360145
NCAM2	0.855993199843346	1.68400462373756e-08	0.140001532166671	0.00400514818997135
NCAN	0.840937866672689	1.84856146725469e-08	0.153681157673926	0.00538085601868273
NCF2	0.855782233421917	1.63730123642278e-08	0.136114586935068	0.00810306033541496
MMP1	0.84560439284417	1.80861779747113e-08	0.150361649817372	0.00403383754189701
MIA	0.840965091053876	1.86550190397948e-08	0.155090996420121	0.00394379271862087
MICB_MICA	0.840609134896402	1.86980139347245e-08	0.155448450811082	0.00394229448495351
MIF	0.853989626136531	1.70386694536205e-08	0.141652502231356	0.00435775187447062
MILR1	0.786036026895902	2.4308986120175e-08	0.202089272593183	0.0118745816565026
MITD1	0.852367000829144	1.72428525813795e-08	0.143350124139297	0.00428275526490801
MLN	0.855175704357852	1.69172032703926e-08	0.140642827591644	0.004181348271668
MME	0.850770994239945	1.68572207831313e-08	0.14013923417834	0.00908965239266307
MGLL	0.854743823110353	1.68668959612622e-08	0.140223729431246	0.00503232778181666
MMP10	0.855668742630178	1.67758686625489e-08	0.139467110863184	0.00486402680983143
MMP12	0.849344676776928	1.72075314482017e-08	0.143053150413137	0.00760205344213318
MMP13	0.829309892732764	1.98770093731989e-08	0.165248937594515	0.00544105004525165
MMP3	0.854842017198099	1.66690426239679e-08	0.138577259142855	0.00658060416850563
MMP7	0.84431429245176	1.82138076789089e-08	0.151422514170184	0.00426307360903754
MMP8	0.844270675539488	1.81922922294191e-08	0.151243415359247	0.00448578935900792
MGMT	0.852461879834239	1.71083365050597e-08	0.142230753815789	0.00530724670642341
METAP2	0.852979428999153	1.72021053324645e-08	0.143011631762455	0.00400881943882207
MFAP3	0.809770713921909	2.23181219111897e-08	0.185544725918908	0.00468444044079533
MFAP5	0.840759548659804	1.86305818103283e-08	0.154887419952792	0.00435291162918197
MFGE8	0.8518329241812	1.72437666369071e-08	0.14335719645467	0.00480975966080222
MMP9	0.839662890048879	1.88141096625142e-08	0.156413671697109	0.00392331844416884
NBN	0.861777577253146	1.6096187783336e-08	0.133816807782539	0.00440549521241094
MYOC	0.849936449348286	1.74308679040809e-08	0.144912386138559	0.00515104485083918
MZB1	0.17682206321394	7.92349780123909e-09	0.0651166728016288	0.758061234792548
MZT1	0.854477661204324	1.70178872147671e-08	0.141480037478205	0.0040421815219116
NAAA	0.830278104647061	1.98954707463698e-08	0.165403545419001	0.00431823017154857
NADK	0.826502347797334	2.01939405971238e-08	0.16788368193092	0.00561385066503914
NAMPT	0.855202171235413	1.68972088734613e-08	0.140476457361426	0.00432125164113346
NBL1	0.838313289934256	1.86802324839226e-08	0.155298172465803	0.0063884180863064
MVK	0.857563381948177	1.63463892438542e-08	0.135894807794463	0.00654169076214438
MYO9B	0.856084140992923	1.67364276985869e-08	0.139139292366613	0.00477644693313434
MSMB	6.2210747252392e-13	1.46727106614479e-08	0.121107752638025	0.878892232688645
MOG	0.840095736058074	1.83788886100736e-08	0.152792122545698	0.00711202196954414
MPHOSPH8	0.846361843293284	1.79361784544976e-08	0.149114086906862	0.00452395006218239
MPI	0.854361152026207	1.68425315784539e-08	0.140020581910706	0.00561814645689501
MPIG6B	0.853025653237052	1.71222205193252e-08	0.142346863242679	0.00462736379502498
MPO	0.852246514295269	1.72406029198865e-08	0.143331281476335	0.00442208447848507
MRPL46	0.831561554882435	1.83641995850622e-08	0.152661335282094	0.0157769914499784
MSLN	2.77636058901011e-06	1.20280936978575e-07	0.999997088652879	1.4705261617145e-08
MNDA	0.854311482161186	1.70379115671381e-08	0.141646517148835	0.00404188089438239
MSR1	0.845012218064319	1.80767008630675e-08	0.150282186948811	0.00470547527101087
MSRA	0.850971792366922	1.74370250872637e-08	0.144964663631495	0.00406342420857721
MSTN	0.858938445668964	1.64787045577727e-08	0.136997334420231	0.00406410011787784
MTPN	0.850438116939071	1.73454727158811e-08	0.144202215248801	0.00535954817486536
MUC13	0.840673569951797	1.74321456533248e-08	0.1449137476183	0.0144125638804596
MUC16	0.852202491382506	1.72752048278517e-08	0.143619200279543	0.00417818855873565
NPM1	0.849628370611568	1.61187820749068e-08	0.133992679311608	0.0163788317636492
PKLR	0.826289815524878	2.04283415687853e-08	0.169834193300372	0.00387587135920619
PLA2G10	0.818349295121138	1.78579616711719e-08	0.148435113163029	0.0332154754257657
PDCD1	0.858020784221174	1.65992319216492e-08	0.137999464747286	0.00397963122846452
